"match_id","key","book_file","book_line","matched_page","match_terms","cited_sentence","method","is_reading","generated_on"
"CTX-ABEDI-STANDARDIZED-2002-01-THE-ESTIMATION-PROBLEM","abedi_standardized_2002","book/chapters/01-the-estimation-problem.qmd",116,"25","numbers, rather, subgroup, high, groups, large, some, standardized","**Large-scale assessment, disaggregated.** Overall reliabilities in large surveys are high, but subgroup reliabilities are not. Rutkowski and Rutkowski [-@rutkowski_measuring_2013] report values as low as .41 for PISA socioeconomic subscales in some groups, and Abedi [-@abedi_standardized_2002, Table 9] reports Grade 9 Stanford 9 subscale reliabilities of .80 to .92 for English-only students against .53 to .83 for English language learners — a gap that widens with the language load of the subject, from reading comprehension (.92 against .83) to social science (.81 against .53). The curriculum-based measurement context comes from Conoyer et al. [-@conoyer_meta-analysis_2022] and Nelson et al. [-@nelson_review_2023], and the disaggregated-reliability evidence from Rutkowski and Rutkowski [-@rutkowski_measuring_2013] and Abedi [-@abedi_standardized_2002]. The corpus figures are the Item Response Warehouse reliability study's [-@lee_reliability-distribution_2026], read from its manuscript; @sec-ch28 gives that study's design and the assertions under which its per-unit frame is used here. The numbers quoted in @sec-ch01-reliability were visually reconstructed from the assessment-level rows of Conoyer's Table 1, and the quantiles use R's type-7 convention. A non-load-bearing claim attributed in the manuscript to an unresolved Ramsay (2016) reference has been omitted rather than carried with an unverifiable citation.","automated full-text keyword overlap between the citing sentence and the PDF text layer","NO","2026-08-06"
"CTX-ADAMS-RELIABILITY-2005-08-RELIABILITY","adams_reliability_2005","book/chapters/08-reliability.qmd",39,"3","tautologically, characteristic, regardless, inaccurate, separation, instrument, very, estimating","The definition is Spearman's: he observed in 1904 that measurement error attenuates observed relationships, and introduced the term *reliability coefficient* in 1910, as Adams [-@adams_reliability_2005] recounts. @eq-rho-ctt reappears in enough different guises that its ubiquity is easy to mistake for depth. Adams lists five: the correlation between true and observed scores is $\sqrt{\rho_{XX'}}$; the correlation between two parallel observed scores is $\rho_{XX'}$; a correlation with an external variable is attenuated by $\sqrt{\rho_{XX'}}$; the variance of the observed mean as an estimator of the true mean is inflated by $1/\rho_{XX'}$; and $\operatorname{Var}(T) = \operatorname{Var}(X)\rho_{XX'}$ tautologically. **Subtraction.** ML and WLE estimates carry measurement error on top of true variation, so their variance is inflated. Under the assumptions of @eq-ctt applied to $\hat\theta_p = \theta_p + \varepsilon_p$, Adams [-@adams_reliability_2005, eq. 5] gives This is the person-separation reliability of Wright and Stone (1979) as Adams [-@adams_reliability_2005, eq. 6] presents it, and it is exactly what `TAM::WLErel` computes. @eq-rho-ctt has a numerator that belongs to the persons and a denominator that belongs to the persons and the instrument together. Adams [-@adams_reliability_2005] puts the consequence plainly: reliability is a characteristic of both the instrument and the sample it is applied to, so a very homogeneous sample yields low reliability regardless of instrument quality, and a very heterogeneous one can make an inaccurate instrument look reliable. @eq-ctt and @eq-rho-ctt, the five equivalences, the over- and under-dispersion identities @eq-overdisp and @eq-underdisp, the two reliability forms @eq-rel-subtract and @eq-rel-add, and the measurement-design-effect framing are Adams [-@adams_reliability_2005], who attributes the person-separation form to Wright and Stone (1979) and the posterior-variance identity to Verhelst (2001) and to Mislevy et al. [-@mislevy_estimating_1992]; neither Wright and Stone (1979) nor Verhelst (2001) is held, and both are cited as secondary through Adams under R5.","automated full-text keyword overlap between the citing sentence and the PDF text layer","NO","2026-08-06"
"CTX-ALBERT-BAYESIAN-1992-10-BAYESIAN-HIERARCHICAL-RASCH","albert_bayesian_1992","book/chapters/10-bayesian-hierarchical-rasch.qmd",282,"4","general, small, alternative, models, data, sampler, probit, model","Albert [-@albert_bayesian_1992] introduced data augmentation for the normal-ogive model: latent continuous responses are imputed, conditional on which the item parameters have conjugate normal full conditionals, so the whole sampler is Gibbs. It is elegant and it is tied to the probit link. Patz and Junker [-@patz_straightforward_1999] gave the general-purpose alternative — Metropolis-within-Gibbs, which does not require conjugacy and therefore extends to models that have no augmentation trick, which is most of them. Hamiltonian Monte Carlo as implemented in Stan is the modern default for the parametric model [@burkner_bayesian_2021]. The semiparametric models of Part V are fitted in NIMBLE, which is what makes the Dirichlet process machinery available at all. The uncertainty-propagation argument quotes Patz and Junker [-@patz_straightforward_1999]; the small-sample arguments are Gilholm et al. [-@gilholm_bayesian_2021] and Fox [-@fox_redefining_2025], read at the level of their stated aims rather than their derivations, which is all the claim here requires. Albert [-@albert_bayesian_1992] is cited for data augmentation under the normal ogive and Bürkner [-@burkner_bayesian_2021] for the Stan route.","automated full-text keyword overlap between the citing sentence and the PDF text layer","NO","2026-08-06"
"CTX-ANDERSSON-LARGE-2018-08-RELIABILITY","andersson_large_2018","book/chapters/08-reliability.qmd",333,"4","forms, ratio, metric, expression, reen, 1984, heng, 2012","$\bar w$ averages the *error variances* and then forms the ratio. $\rho_\Theta$ forms the ratio pointwise and averages *that*. Andersson and Xin [-@andersson_large_2018, eq. 13], following Cheng et al. [-@cheng_comparison_2012], state the unit-variance form; the $\sigma^2_\theta$ form displayed here is its algebraic scale adaptation. `mirt::marginal_rxx` does **not** implement this general-variance formula: mirt 1.46.1 evaluates $\operatorname{E}_G[\mathcal{J}/(\mathcal{J}+\sigma^2_\theta)]$, which agrees with $\rho_\Theta$ only when $\sigma^2_\theta=1$. $\tilde\rho$ averages the *information* and then forms the ratio; it is the average-information metric that the reliability-targeting package calibrates against. $\rho_\Theta$ in @eq-functionals adapts the unit-variance expression of Green et al. [-@green_technical_1984] as given by Andersson and Xin [-@andersson_large_2018, eq. 13] following Cheng et al. [-@cheng_comparison_2012]. The outer inequality of @thm-jensen-sandwich is Theorem 1 of the reliability-targeting package's theory vignette, restated; the inner placement and the proof as organized here are derived, and neither is claimed as novel — both steps are Jensen's inequality. @prp-mean-weight is derived here and corresponds to equations (C.23)–(C.24) of the Appendix C draft, which gives the inequality but not, in its earlier form, the working-approximation qualification; that qualification is logged as `C-006`.","automated full-text keyword overlap between the citing sentence and the PDF text layer","NO","2026-08-06"
"CTX-ANTONELLI-MITIGATING-2016-15-DIRICHLET-PROCESS","antonelli_mitigating_2016","book/chapters/15-dirichlet-process.qmd",266,"14","current, research, meaningful, about, question, conditional, package, both","The sources differ in both target and method. Paganin et al. examine the induced mean and variance of $K_N$ and use different Gamma priors in their simulation and real-data analyses; they do not advocate one universal reproducibility prior. Antonelli et al. [-@antonelli_mitigating_2016] compare moment matching, diffuse Gamma, Kullback--Leibler, fixed-$\alpha$, empirical-Bayes and importance-sampling strategies. Lee et al. [-@lee_improving_2025] elicit an entire distribution for $K$ through a chi-square construction and fit a Gamma hyperprior by Dorazio's KL method, rather than matching only $\operatorname{E}[K_J]$. Murugiah and Sweeting [-@murugiah_selecting_2012] develop a selection framework both with and without subjective information and provide defaults. Dorazio [-@dorazio_selecting_2009] and Rodríguez [-@rodriguez_jeffreys_2013] supply induced-cluster and objective routes; Rodríguez's Ewens Jeffreys prior is proper but has **no finite moments**. Vicentini and Jermyn [-@vicentini_prior_2025] pose the current question: specify $p(\alpha\mid\eta)$ through quantities for which “meaningful” prior information can actually be expressed. The design-conditional framework of this research programme is one answer to that question posed as a procedure: state a belief about the number of occupied clusters at the design's own $J$, convert it into a Gamma hyperprior on $\alpha$ by two-stage moment matching, and — the step the next subsection motivates — anchor the induced weight behaviour at the same time [@lee_design-conditional_2026]. The `DPprior` package implements the framework, and it is the machinery behind the companion simulation's ""focused"" and ""broad"" elicitation arms [@lee_dpprior_2026].","automated full-text keyword overlap between the citing sentence and the PDF text layer","NO","2026-08-06"
"CTX-ARK-STANDARD-2025-08-RELIABILITY","ark_standard_2025","book/chapters/08-reliability.qmd",57,"1","heorem, about, 1679, ovick, 1968, latent, 1951, total","with $V_i$ the item variances and $V_t$ the total-score variance, is a lower bound on $\rho_{XX'}$ under any model — a result van der Ark [-@ark_standard_2025, p. 1679] attributes to Lord and Novick (1968, Theorem 4.4.3). Guttman's $\lambda_2$ [@guttman_basis_1945, § 13] is a sharper lower bound using the squared inter-item covariances, and Guttman's $\lambda_3$ is $\alpha$ [@ark_standard_2025, p. 1686, § 3.7]. Three things follow that are worth saying flatly, because each is regularly got wrong: $\alpha$ is a bound and not an estimate; it is a statement about the sum score and not about a latent variable; and it is not a measure of unidimensionality [@sijtsma_use_2009]. @eq-alpha is Cronbach's own equation (2) [-@cronbach_coefficient_1951, p. 299], read at that page: the symbols $n$, $V_i$ and $V_t$ and the statement that $V_t$ is the variance of test scores and $V_i$ the variance of item scores are his. The lower-bound status and the $\lambda_3 = \alpha$ identity are van der Ark [-@ark_standard_2025, pp. 1679 and 1686 § 3.7]; $\lambda_2$ is Guttman [-@guttman_basis_1945, § 13].","automated full-text keyword overlap between the citing sentence and the PDF text layer","NO","2026-08-06"
"CTX-BAMBIRRA-GONCALVES-BAYESIAN-2018-14-FLEXIBLE-ALTERNATIVES","bambirra_goncalves_bayesian_2018","book/chapters/14-flexible-alternatives.qmd",88,"11","2001, family, maximum, 2006, curves, nonparametric, latent, 2016","Bolt et al. [-@bolt_mixture_2001] use a mixture item response model to capture discrete latent classes with different propensities toward response categories — a mixture over *people*, motivated substantively. Gnaldi et al. [-@gnaldi_multilevel_2016] extend this to a multilevel finite mixture that clusters both students and schools into ability classes. Bambirra Gonçalves et al. [-@bambirra_goncalves_bayesian_2018] take the more direct route of putting a normal mixture on the ability distribution itself in a Bayesian 3PL, ""allowing for features like skewness, multimodality and heavy tails."" Cheng and Meng [-@cheng_estimating_2025] revisit Gaussian-mixture IRT and note that it doubles as a tool for exploring latent heterogeneity, their contribution being a stochastic-approximation EM algorithm to make the computation tractable. Zhang et al. [-@zhang_bayesian_2021] give an MCMC method for ordinal items with flexible latent trait distributions, using a **Davidian curve** to approximate $G$ within a Bayesian sampler — the same density family as Woods and Lin, fitted so as to produce a posterior rather than a maximum. Bambirra Gonçalves et al. [-@bambirra_goncalves_bayesian_2018] do the corresponding thing for mixtures. Mislevy [-@mislevy_estimating_1984] for direct estimation of population parameters from responses with standard errors and fit tests; Woods and Thissen [-@woods_item_2006] for splines and the 2PL improvement; Woods [-@woods_ramsay-curve_2006; -@woods_ramsay_2007; -@woods_ramsay-curve_2008] for Ramsay curves, including model selection as part of the method; Woods and Lin [-@woods_item_2009] for Davidian curves and the three-way comparison against Ramsay curves and the empirical histogram; Monroe and Cai [-@monroe_estimation_2014] for the missing covariance matrix under EM; Bolt et al. [-@bolt_mixture_2001] and Gnaldi et al. [-@gnaldi_multilevel_2016] for mixtures over people; Bambirra Gonçalves et al. [-@bambirra_goncalves_bayesian_2018] and Cheng and Meng [-@cheng_estimating_2025] for mixtures on the ability distribution; Kappus et al. [-@kappus_nonparametric_2020] for the inverse-problem framing; Zhang et al. [-@zhang_bayesian_2021] for the Bayesian Davidian sampler; Finch and Edwards [-@finch_rasch_2016] for the corrective evaluation. Li and Cai [-@li_summed_2018] supply the remark on empirical-histogram stability, from their § 1.","automated full-text keyword overlap between the citing sentence and the PDF text layer","NO","2026-08-06"
"CTX-BLANCA-SKEWNESS-2013-13-NON-NORMALITY","blanca_skewness_2013","book/chapters/13-non-normality.qmd",27,"7","modern, sizes, multivariate, cience, ducational, esearch, ournal, normality","Two modern replications reach the same place with different corpora. Blanca et al. [-@blanca_skewness_2013] examine 693 distributions at sample sizes of 10 to 30 and report skewness from $-2.49$ to $2.33$ and kurtosis from $-1.92$ to $7.41$, with **only 5.5%** close to the values normality would give. Cain et al. [-@cain_univariate_2017] collect 1,567 univariate and 254 multivariate distributions from authors publishing in *Psychological Science* and the *American Educational Research Journal*, and find **74%** and **68%** respectively departing from normality. Blanca et al. [-@blanca_skewness_2013] and Cain et al. [-@cain_univariate_2017] are read at the level of their reported counts and percentages, which is all that is used.","automated full-text keyword overlap between the citing sentence and the PDF text layer","NO","2026-08-06"
"CTX-BOCK-ADAPTIVE-1982-11-CONDITIONAL-POSTERIOR-AND-SHRINKAGE","bock_adaptive_1982","book/chapters/11-conditional-posterior-and-shrinkage.qmd",314,"13","square, 1982, islevy, quadrature, standard, adaptive","@eq-cond-post, @eq-working, @thm-eap-shrinkage and @eq-post-var follow the Appendix E draft §§ E.2–E.4, which derives them in this notation; the completing-the-square proof is standard normal–normal conjugacy and is restated rather than attributed, since it predates the psychometric literature entirely. Bock and Mislevy [-@bock_adaptive_1982] is the standard psychometric reference for EAP scoring by quadrature.","automated full-text keyword overlap between the citing sentence and the PDF text layer","NO","2026-08-06"
"CTX-BOCK-MARGINAL-1981-02-NOTATION-AND-FRAMEWORKS","bock_marginal_1981","book/chapters/02-notation-and-frameworks.qmd",251,"1","draft, limit, without, 1981, standard, marginal, model, likelihood","The parallel between the marginal likelihood and the hierarchical model in @sec-ch02-frameworks restates @bock_marginal_1981 for the frequentist side and @fox_bayesian_2010 for the Bayesian, and follows the Appendix D draft (§ D.5) in setting them against each other. The observation that MML is the flat-hyperprior limit of the hierarchical model is standard and is stated here without novelty claim.","automated full-text keyword overlap between the citing sentence and the PDF text layer","NO","2026-08-06"
